"4G_RRC_SETUP_FAILURES_OVERALL","4G_4G2G_OUT_HO_FAILURES_SRVCC","4G_4G2G_OUT_HO_SUCC_RATE_SRVCC","4G_4G2G_OUT_HO_SUCC_SRVCC","4G_4G3G_OUT_HO_FAILURES_SRVCC","4G_4G3G_OUT_HO_SUCC_RATE_SRVCC","4G_4G3G_OUT_HO_SUCC_SRVCC","4G_4G4G_OUT_HO_FAILURES_OVERALL","4G_4G4G_OUT_HO_FAILURES_VOICE","4G_4G4G_OUT_HO_SUCC_OVERALL","4G_4G4G_OUT_HO_SUCC_RATE_OVERALL","4G_4G4G_OUT_HO_SUCC_RATE_VOICE","LTE_Avg_Cell_Throughput_DL_Mbps_LTE_1","LTE_Traffic_Volume_DL_GBytes_LTE_1","LTE_Traffic_Volume_UL_GBytes_LTE_1","4G_TRAFFIC_VOLUME_DL_OVERALL","4G_TRAFFIC_VOLUME_OVERALL","4G_TRAFFIC_VOLUME_UL_OVERALL","4G_HO_SRVCC_SUCCESSES","4G_BPCR_OVERALL_RRC_SUCC_MV_LN","4G_BPCR_OVERALL_eRAB_SUCC_MV_LN","4G_BPCR_OVERALL_eRAB_ATT_MV_LN","4G_OUT_HO_SRVCC_FAILURES_OVERALL","4G_OUT_HO_SUCC_RATE_SRVCC_OVERALL","4G_BPCR_DATA","4G_TRAFFIC_VOLUME_DL_DATA_NOK","4G_TRAFFIC_VOLUME_UL_DATA_NOK","4G_TRAFFIC_VOLUME_VOICE_NOK","4G_DL_MAX_THROUGHPUT_NOK","4G_HO_ATTEMPTS","4G_HO_ATTEMPTS_NOK","4G_HO_FAILURES","4G_HO_SRVCC_ATTEMPTS","4G_HO_SRVCC_ATTEMPTS_NOK","4G_RRC_SETUP_ATTEMPTS_OVERALL","4G_RRC_SETUP_SUCCESSES_OVERALL","4G_ERAB_SETUP_ATTEMPTS_DATA","4G_ERAB_SETUP_ATTEMPTS_VOICE","4G_ERAB_SETUP_SUCCESSES_DATA","4G_ERAB_SETUP_SUCCESSES_VOICE","4G_BPCR_OVERALL_NOK","4G_ERAB_SETUP_ATTEMPTS_OVERALL","4G_ERAB_SETUP_FAILURES_DATA","4G_ERAB_SETUP_FAILURES_OVERALL","4G_ERAB_SETUP_FAILURES_VOICE","4G_ERAB_SETUP_SUCCESS_RATE_DATA","4G_ERAB_SETUP_SUCCESS_RATE_OVERALL","4G_ERAB_SETUP_SUCCESS_RATE_VOICE","4G_ERAB_SETUP_SUCCESSES_OVERALL","4G_IMS_SIG_ATTEMPTS","4G_IMS_SIG_FAILURES","4G_IMS_SIG_SUCCESS_RATE","4G_IMS_SIG_SUCCESSES","4G_MIMO_SPATIAL_MUX_SHARE","4G_RRC_SETUP_SUCCESS_RATE_OVERALL","4G_S1_SETUP_ATTEMPTS_OVERALL","4G_S1_SETUP_FAILURES_OVERALL","4G_S1_SETUP_SUCC_RATE_OVERALL","4G_S1_SETUP_SUCCESSES_OVERALL","OUTPUT"
"0","0","0","0","0","0","0","0","0","176","100,000","100,000","12,568","56,563","0.1649 ","5","5.43","0","0","5449","7259","7259","0","0","0.000","5.27","0.16","0.70 ","178.4","176","176","0","0","0","5449","5449","4356","21","4356","21","0.000","7259","0","0","0","100,000","100,000","100,000","7259","2882","0","100,000","2882","47,010","100,000","5449","0","100,000","5449","0"
"1","0","0","0","0","0","0","0","0","112","100,000","100,000","14,732","66,302","0.5453 ","6","6.72","1","0","5408","8504","8504","0","0","0.020","6.17","0.55","1.46 ","111.3","112","112","0","0","0","5409","5408","4702","14","4702","14","0.020","8504","0","0","0","100,000","100,000","100,000","8504","3788","0","100,000","3788","64,060","99,980","5408","0","100,000","5408","0"
"0","0","0","0","0","0","0","0","0","102","100,000","100,000","1,515","0.6819 ","0.0797 ","1","0.71","0","0","5363","8395","8395","0","0","0.000","0.64","0.08","2.02 ","42.1","102","102","0","0","0","5363","5363","4442","15","4442","15","0.000","8395","0","0","0","100,000","100,000","100,000","8395","3938","0","100,000","3938","27,700","100,000","5363","0","100,000","5363","0"
"0","0","0","0","0","0","0","0","0","141","100,000","100,000","5,337","24,006","0.1048 ","2","2.34","0","0","4688","7100","7100","0","0","0.000","2.24","0.1","0.18 ","84.3","141","141","0","0","0","4688","4688","4343","6","4343","6","0.000","7100","0","0","0","100,000","100,000","100,000","7100","2751","0","100,000","2751","30,830","100,000","4688","0","100,000","4688","0"
"0","0","0","0","0","0","0","0","0","45","100,000","0","1,519","0.6838 ","0.0585 ","1","0.7","0","0","4576","7004","7004","0","0","0.000","0.64","0.06","1.64 ","54.2","45","45","0","0","0","4576","4576","3929","10","3929","10","0.000","7004","0","0","0","100,000","100,000","100,000","7004","3065","0","100,000","3065","34,260","100,000","4576","0","100,000","4576","0"
"0","0","0","0","0","100,000","1","0","0","186","100,000","100,000","8,082","36,364","0.3474 ","3","3.73","0","1","4376","6971","6971","0","100,000","0.000","3.39","0.35","1.79 ","29.1","186","186","0","1","1","4376","4376","3933","19","3933","19","0.000","6971","0","0","0","100,000","100,000","100,000","6971","3019","0","100,000","3019","22,340","100,000","4376","0","100,000","4376","0"
"0","0","0","0","0","0","0","0","0","149","100,000","100,000","8,151","36,684","0.2508 ","3","3.67","0","0","4354","6873","6873","0","0","0.000","3.42","0.25","1.45 ","99.3","149","149","0","0","0","4354","4354","3840","6","3840","6","0.000","6873","0","0","0","100,000","100,000","100,000","6873","3027","0","100,000","3027","46,560","100,000","4354","0","100,000","4354","0"
"0","0","0","0","0","0","0","0","0","121","100,000","100,000","6,706","30,183","0.5558 ","3","3.37","1","0","4343","5619","5619","0","0","0.000","2.81","0.56","1.66 ","78.2","121","121","0","0","0","4343","4343","3103","14","3103","14","0.000","5619","0","0","0","100,000","100,000","100,000","5619","2502","0","100,000","2502","31,990","100,000","4343","0","100,000","4343","0"
"0","0","0","0","0","0","0","0","0","73","100,000","100,000","6,942","31,236","0.1643 ","3","3.07","0","0","4305","6515","6515","0","0","0.000","2.91","0.16","2.14 ","80","73","73","0","0","0","4305","4305","3861","9","3861","9","0.000","6515","0","0","0","100,000","100,000","100,000","6515","2645","0","100,000","2645","41,650","100,000","4305","0","100,000","4305","0"
"0","0","0","0","0","0","0","0","0","173","100,000","100,000","9,635","43,366","0.3451 ","4","4.38","0","0","4121","6259","6259","0","0","0.000","4.04","0.35","1.52 ","189.5","173","173","0","0","0","4121","4121","3837","18","3837","18","0.000","6259","0","0","0","100,000","100,000","100,000","6259","2404","0","100,000","2404","45,960","100,000","4121","0","100,000","4121","0"
"0","0","0","0","0","0","0","0","0","278","100,000","100,000","5,683","25,533","0.1506 ","2","2.53","0","0","4030","6992","6992","0","0","0.000","2.38","0.15","0.55 ","100.2","278","278","0","0","0","4030","4030","4135","7","4135","7","0.000","6992","0","0","0","100,000","100,000","100,000","6992","2850","0","100,000","2850","39,700","100,000","4030","0","100,000","4030","0"
"0","0","0","0","0","0","0","0","0","89","100,000","100,000","11,293","50,811","0.1124 ","5","4.84","0","0","3538","5655","5655","0","0","0.000","4.73","0.11","2.32 ","99.4","89","89","0","0","0","3538","3538","2800","16","2800","16","0.000","5655","0","0","0","100,000","100,000","100,000","5655","2839","0","100,000","2839","53,890","100,000","3538","0","100,000","3538","0"
"0","0","0","0","0","0","0","0","0","170","100,000","100,000","13,242","59,582","0.2555 ","6","5.8","0","0","3456","5727","5727","0","0","0.000","5.55","0.26","2.40 ","192.2","170","170","0","0","0","3456","3456","3057","36","3057","36","0.000","5727","0","0","0","100,000","100,000","100,000","5727","2634","0","100,000","2634","34,060","100,000","3456","0","100,000","3456","0"
"0","0","0","0","0","0","0","0","0","114","100,000","100,000","13,731","61,779","0.1137 ","6","5.87","0","0","3449","4978","4978","0","0","0.000","5.75","0.11","0.49 ","110.4","114","114","0","0","0","3449","3449","3119","9","3119","9","0.000","4978","0","0","0","100,000","100,000","100,000","4978","1850","0","100,000","1850","64,150","100,000","3449","0","100,000","3449","0"
"0","0","0","0","0","0","0","0","0","373","100,000","0","7,615","34,265","0.1771 ","3","3.37","0","0","3420","4401","4401","0","0","0.000","3.19","0.18","0.00 ","64.6","373","373","0","0","0","3420","3420","2706","0","2706","0","0.000","4401","0","0","0","100,000","100,000","0","4401","1695","0","100,000","1695","48,990","100,000","3420","0","100,000","3420","0"
"11","0","0","0","0","100,000","1","0","0","190","100,000","100,000","3,825","17,179","0.1444 ","2","1.74","0","1","3410","4529","4529","0","100,000","0.320","1.6","0.14","0.10 ","57.7","190","190","0","1","1","3421","3410","2538","5","2538","5","0.320","4529","0","0","0","100,000","100,000","100,000","4529","1986","0","100,000","1986","13,730","99,680","3410","0","100,000","3410","0"
